2023-09-22 10:37:47.105 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 3 is verified as the same person.
2023-09-22 10:37:47.511 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/28a7616e-cfb9-4592-8dae-633d9157727d.jpg
2023-09-22 10:38:06.682 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:38:07.857 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/cc845da4-2392-4858-94b5-8b189a763268.jpg
2023-09-22 10:38:27.388 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:38:56.328 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:38:56.330 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:39:10.188 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:40:02.192 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:44:54.545 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:45:40.469 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:45:40.471 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:45:57.420 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/26e2a089-8bb3-4cd8-a54b-3c16ad4eb737.jpg
2023-09-22 10:46:16.765 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:47:30.131 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:48:17.002 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/b111b198-6074-4618-a9dc-fd9ee22c3beb.jpg
2023-09-22 10:48:30.182 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:48:49.954 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:101 - Face ID 4 is verified as a new person.
2023-09-22 10:48:50.390 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/7c1cfcf3-e2ca-489a-af4f-36948fa23777.jpg
2023-09-22 10:49:04.898 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:49:04.900 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:49:04.929 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:49:21.403 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 4 is verified as the same person.
2023-09-22 10:49:22.030 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/919d0234-f373-4133-a1e1-df43c843d08d.jpg
2023-09-22 10:49:51.164 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:49:52.634 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/25e81b28-ff09-4cdb-8b3e-762f8cd9611d.jpg
2023-09-22 10:50:21.884 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:50:24.242 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/7bad9564-9a5d-4e3e-ba28-71626939f96e.jpg
2023-09-22 10:50:52.266 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:50:53.576 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/99d1bd80-bc19-4aa0-bbd6-cfa15795b521.jpg
2023-09-22 10:51:21.810 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:55:08.054 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/2181592e-9264-48a7-b889-899ccf1dae3c.jpg
2023-09-22 10:55:09.758 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/010c3ff5-a10e-470c-9a82-97510291c1f0.jpg
2023-09-22 10:55:28.370 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:55:38.676 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:56:28.017 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:56:46.087 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/31ab55ba-e0c7-43e7-a2d4-6ff947a2a8c8.jpg
2023-09-22 10:56:47.001 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/468a7acc-a1b8-478a-a930-d0668ac06342.jpg
2023-09-22 10:57:07.263 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:57:08.072 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/c08e9b3c-6f3f-4ede-aff3-52ea8b3e1a65.jpg
2023-09-22 10:57:13.285 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:57:14.103 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/be8403f8-d2dd-475a-b99e-9110dec85be8.jpg
2023-09-22 10:57:28.395 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:57:28.808 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/93423069-1773-455e-8737-ad8b10739f4e.jpg
2023-09-22 10:57:42.576 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:57:43.398 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/a5c440f8-6250-48bf-b1a7-a3f6cc6e6ec2.jpg
2023-09-22 10:57:48.153 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:58:12.573 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:58:19.785 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/b52e776d-40dd-4259-9e56-a5830cf124c3.jpg
2023-09-22 10:58:29.219 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:58:29.221 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:58:39.599 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:58:44.306 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:58:44.308 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:59:16.682 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/4cd0dbaa-a8b5-40e1-858f-2094aa7b9086.jpg
2023-09-22 10:59:16.696 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/78c005e5-b26f-4dc6-9c4c-218e6a55e9d7.jpg
2023-09-22 10:59:43.486 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:101 - Face ID 3 is verified as a new person.
2023-09-22 10:59:44.432 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/2456cf30-da94-414c-8e35-1d6ecba0b27c.jpg
2023-09-22 11:00:04.698 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:101 - Face ID 5 is verified as a new person.
2023-09-22 11:00:05.144 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/ce7b5e85-0dfa-4da7-b882-35d78cf39ec7.jpg
2023-09-22 11:00:16.008 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:101 - Face ID 4 is verified as a new person.
2023-09-22 11:00:16.425 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/99c8e514-3456-409f-91f6-e42319144472.jpg
2023-09-22 11:00:24.108 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 11:00:35.711 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 11:00:36.781 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/f2828bfa-cc21-45d1-ab48-cd871657efd5.jpg
2023-09-22 11:00:47.722 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 11:00:56.346 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
